ubigeo,departamento,dom_Geo,provincia,distrito,total_electoral,total_ausentismo,porc_Ausentismo,ord_Ausentismo,dic_Ausentismo,porc_hogares_sin_medios,IDH,alfabetismo,partidoGanador,porc_2_NBI,GINI
030214,Apurímac,Sur,Andahuaylas,San Miguel de Chaccrampa,1235.0,343.0,27.77328,3.0,1.0,100.0,0.5255206,66.63489,FUERZA 2011,33.13,0.23
030215,Apurímac,Sur,Andahuaylas,Santa María de Chicmo,6160.0,1246.0,20.227272,2.0,1.0,85.54,0.55355495,74.303406,FUERZA 2011,7.04,0.21
030216,Apurímac,Sur,Andahuaylas,Talavera,11782.0,2569.0,21.804447,2.0,1.0,61.89,0.5781807,80.26231,GANA PERU,5.24,0.29
030217,Apurímac,Sur,Andahuaylas,Tumay Huaraca,1367.0,407.0,29.773226,3.0,1.0,99.67,0.53776985,70.71161,GANA PERU,33.06,0.25
030218,Apurímac,Sur,Andahuaylas,Turpo,2832.0,648.0,22.881355,2.0,1.0,99.13,0.55123293,75.12631,GANA PERU,6.29,0.23
030219,Apurímac,Sur,Andahuaylas,Kaquiabamba,1686.0,367.0,21.767496,2.0,1.0,99.1,0.5374057,70.33037,GANA PERU,6.16,0.23
030301,Apurímac,Sur,Antabamba,Antabamba,1962.0,518.0,26.40163,3.0,1.0,98.92,0.5272908,78.74372,GANA PERU,23.87,0.28
030302,Apurímac,Sur,Antabamba,El Oro,504.0,128.0,25.396826,3.0,1.0,98.0,0.5518256,85.19481,GANA PERU,18.5,0.22
030303,Apurímac,Sur,Antabamba,Huaquirca,733.0,157.0,21.418827,2.0,1.0,99.27,0.5210136,78.767876,PERU POSIBLE,40.49,0.28
030304,Apurímac,Sur,Antabamba,Juan Espinoza Medrano,1245.0,413.0,33.17269,3.0,1.0,99.7,0.519631,77.17141,GANA PERU,41.72,0.28
030305,Apurímac,Sur,Antabamba,Oropesa,1186.0,261.0,22.006746,2.0,1.0,99.59,0.5128794,74.12399,GANA PERU,48.84,0.26
030306,Apurímac,Sur,Antabamba,Pachaconas,691.0,150.0,21.70767,2.0,1.0,100.0,0.54442877,85.58559,GANA PERU,28.36,0.22
030307,Apurímac,Sur,Antabamba,Sabaino,900.0,147.0,16.333334,1.0,0.0,98.92,0.5206846,77.61034,GANA PERU,34.06,0.28
030401,Apurímac,Sur,Aymaraes,Chalhuanca,2245.0,432.0,19.242762,2.0,0.0,60.47,0.5940785,89.0,GANA PERU,10.28,0.3
030402,Apurímac,Sur,Aymaraes,Capaya,454.0,123.0,27.09251,3.0,1.0,99.15,0.56682545,87.80488,GANA PERU,13.98,0.27
030403,Apurímac,Sur,Aymaraes,Caraybamba,857.0,222.0,25.904318,3.0,1.0,99.48,0.5547765,81.65681,GANA PERU,23.2,0.23
030404,Apurímac,Sur,Aymaraes,Chapimarca,1501.0,402.0,26.782145,3.0,1.0,99.59,0.5250428,70.014145,GANA PERU,17.53,0.37
030405,Apurímac,Sur,Aymaraes,Colcabamba,504.0,89.0,17.65873,1.0,0.0,99.62,0.5225663,71.0728,GANA PERU,14.66,0.25
030406,Apurímac,Sur,Aymaraes,Cotaruse,1871.0,460.0,24.585783,3.0,1.0,99.57,0.55553085,84.121864,GANA PERU,40.32,0.25
030407,Apurímac,Sur,Aymaraes,Huayllo,487.0,134.0,27.5154,3.0,1.0,100.0,0.56716764,84.88372,GANA PERU,6.85,0.28
030408,Apurímac,Sur,Aymaraes,Justo Apu Sahuaraura,603.0,151.0,25.04146,3.0,1.0,99.73,0.5416559,76.86677,GANA PERU,10.46,0.24
030409,Apurímac,Sur,Aymaraes,Lucre,1416.0,365.0,25.776836,3.0,1.0,99.67,0.5192957,65.4213,GANA PERU,15.08,0.26
030410,Apurímac,Sur,Aymaraes,Pocohuanca,815.0,192.0,23.558283,2.0,1.0,99.23,0.548178,79.61539,GANA PERU,16.45,0.26
030411,Apurímac,Sur,Aymaraes,San Juan de Chacña,673.0,176.0,26.15156,3.0,1.0,100.0,0.51025313,64.365974,GANA PERU,14.92,0.24
030412,Apurímac,Sur,Aymaraes,Sañayca,749.0,183.0,24.432577,3.0,1.0,94.94,0.5185301,72.42938,GANA PERU,22.17,0.27
030413,Apurímac,Sur,Aymaraes,Soraya,474.0,105.0,22.1519,2.0,1.0,100.0,0.53012943,73.77691,FUERZA 2011,16.3,0.26
030414,Apurímac,Sur,Aymaraes,Tapairihua,1510.0,370.0,24.503311,3.0,1.0,99.54,0.5248332,67.55905,GANA PERU,16.23,0.27
030415,Apurímac,Sur,Aymaraes,Tintay,2467.0,758.0,30.725578,3.0,1.0,99.33,0.5218771,70.20305,GANA PERU,12.89,0.26
030416,Apurímac,Sur,Aymaraes,Toraya,967.0,234.0,24.198553,3.0,1.0,99.62,0.5248471,70.20702,GANA PERU,12.38,0.27
030417,Apurímac,Sur,Aymaraes,Yanaca,761.0,190.0,24.967148,3.0,1.0,99.22,0.5523678,79.77667,GANA PERU,10.1,0.27
030501,Apurímac,Sur,Cotabambas,Tambobamba,5485.0,915.0,16.68186,1.0,0.0,99.38,0.5011132,59.646168,GANA PERU,22.9,0.28
030502,Apurímac,Sur,Cotabambas,Cotabambas,2322.0,509.0,21.920757,2.0,1.0,99.64,0.5500229,75.52251,GANA PERU,12.86,0.26
030503,Apurímac,Sur,Cotabambas,Coyllurqui,3481.0,748.0,21.48808,2.0,1.0,99.74,0.5225295,66.83405,GANA PERU,23.45,0.27
030504,Apurímac,Sur,Cotabambas,Haquira,4953.0,917.0,18.514032,2.0,0.0,99.57,0.53536177,70.40851,GANA PERU,15.24,0.26
030505,Apurímac,Sur,Cotabambas,Mara,2443.0,436.0,17.84691,1.0,0.0,99.49,0.52276975,68.896515,GANA PERU,12.2,0.25
030506,Apurímac,Sur,Cotabambas,Challhuahuacho,3790.0,503.0,13.271768,1.0,0.0,99.2,0.512185,65.06718,GANA PERU,20.97,0.28
030601,Apurímac,Sur,Chincheros,Chincheros,3278.0,861.0,26.266016,3.0,1.0,78.99,0.5588644,80.16912,GANA PERU,11.42,0.31
030602,Apurímac,Sur,Chincheros,Anco-Huallo,6338.0,1488.0,23.477438,2.0,1.0,91.69,0.553646,78.030754,GANA PERU,10.89,0.25
030603,Apurímac,Sur,Chincheros,Cocharcas,1239.0,262.0,21.146086,2.0,1.0,99.84,0.55199295,80.60562,GANA PERU,4.58,0.25
030604,Apurímac,Sur,Chincheros,Huaccana,4452.0,1105.0,24.820305,3.0,1.0,99.66,0.5564032,79.22101,GANA PERU,9.03,0.24
030605,Apurímac,Sur,Chincheros,Ocobamba,4113.0,1045.0,25.407246,3.0,1.0,99.24,0.534526,74.43007,FUERZA 2011,8.02,0.23
030606,Apurímac,Sur,Chincheros,Ongoy,4622.0,1266.0,27.39074,3.0,1.0,99.64,0.5392604,73.63538,GANA PERU,7.82,0.24
030607,Apurímac,Sur,Chincheros,Uranmarca,1660.0,358.0,21.566265,2.0,1.0,99.19,0.53917474,74.062164,GANA PERU,9.6,0.21
030608,Apurímac,Sur,Chincheros,Ranracancha,2497.0,556.0,22.26672,2.0,1.0,98.77,0.51351166,65.28763,GANA PERU,8.83,0.23
