ubigeo,departamento,dom_Geo,provincia,distrito,total_electoral,total_ausentismo,porc_Ausentismo,ord_Ausentismo,dic_Ausentismo,porc_hogares_sin_medios,IDH,alfabetismo,partidoGanador,porc_2_NBI,GINI
040606,Arequipa,Sur,Condesuyos,Río Grande,1486.0,209.0,14.064603,1.0,0.0,97.31,0.62907636,95.32374,GANA PERU,9.29,0.29
040607,Arequipa,Sur,Condesuyos,Salamanca,645.0,237.0,36.744186,3.0,1.0,99.43,0.55380356,78.1719,GANA PERU,75.36,0.27
040608,Arequipa,Sur,Condesuyos,Yanaquihua,2150.0,410.0,19.069767,2.0,0.0,98.59,0.5933999,91.10932,GANA PERU,50.35,0.27
040701,Arequipa,Sur,Islay,Mollendo,18882.0,2732.0,14.468806,1.0,0.0,23.94,0.65252763,97.579124,GANA PERU,6.57,0.32
040702,Arequipa,Sur,Islay,Cocachacra,6705.0,730.0,10.887398,0.0,0.0,47.87,0.62698895,94.009415,GANA PERU,11.0,0.31
040703,Arequipa,Sur,Islay,Dean Valdivia,4576.0,482.0,10.533216,0.0,0.0,48.48,0.61286616,92.68079,GANA PERU,16.5,0.31
040704,Arequipa,Sur,Islay,Islay,2653.0,306.0,11.534112,0.0,0.0,36.45,0.6366437,98.02723,GANA PERU,28.79,0.29
040705,Arequipa,Sur,Islay,Mejía,1150.0,159.0,13.826087,1.0,0.0,35.63,0.6328734,96.467995,GANA PERU,7.13,0.3
040706,Arequipa,Sur,Islay,Punta de Bombón,4937.0,669.0,13.550739,1.0,0.0,49.39,0.616119,93.5738,GANA PERU,15.71,0.33
040801,Arequipa,Sur,La Unión,Cotahuasi,1888.0,545.0,28.866526,3.0,1.0,72.08,0.60095525,91.17063,GANA PERU,7.14,0.32
040802,Arequipa,Sur,La Unión,Alca,1356.0,345.0,25.442478,3.0,1.0,98.32,0.5380092,72.07891,GANA PERU,15.14,0.32
040803,Arequipa,Sur,La Unión,Charcana,459.0,136.0,29.62963,3.0,1.0,96.95,0.55461395,82.87037,GANA PERU,17.77,0.29
040804,Arequipa,Sur,La Unión,Huaynacotas,1387.0,456.0,32.876713,3.0,1.0,99.0,0.54170626,76.706825,GANA PERU,32.95,0.29
040805,Arequipa,Sur,La Unión,Pampamarca,1021.0,286.0,28.011753,3.0,1.0,98.66,0.5180873,68.88634,GANA PERU,42.19,0.3
040806,Arequipa,Sur,La Unión,Puyca,1555.0,357.0,22.958199,2.0,1.0,99.52,0.5005705,66.31455,GANA PERU,53.69,0.29
040807,Arequipa,Sur,La Unión,Quechualla,409.0,154.0,37.652813,3.0,1.0,99.05,0.5527322,84.09091,GANA PERU,29.52,0.29
040808,Arequipa,Sur,La Unión,Sayla,231.0,77.0,33.333332,3.0,1.0,98.05,0.5883606,91.135735,GANA PERU,33.77,0.27
040809,Arequipa,Sur,La Unión,Tauria,209.0,59.0,28.229666,3.0,1.0,88.17,0.5780549,86.80851,GANA PERU,69.89,0.28
040810,Arequipa,Sur,La Unión,Tomepampa,549.0,144.0,26.229507,3.0,1.0,97.01,0.5783496,84.31703,GANA PERU,7.84,0.32
040811,Arequipa,Sur,La Unión,Toro,525.0,158.0,30.095238,3.0,1.0,97.85,0.58983296,90.96045,GANA PERU,24.54,0.27
050101,Ayacucho,Sur,Huamanga,Ayacucho,73444.0,12667.0,17.247154,1.0,0.0,38.25,0.6144142,93.29221,GANA PERU,3.9,0.35
050102,Ayacucho,Sur,Huamanga,Acocro,4319.0,589.0,13.637416,1.0,0.0,86.77,0.51281947,71.553696,GANA PERU,16.66,0.26
050103,Ayacucho,Sur,Huamanga,Acos Vinchos,2867.0,440.0,15.347053,1.0,0.0,91.24,0.5053383,67.86547,GANA PERU,17.51,0.28
050104,Ayacucho,Sur,Huamanga,Carmen Alto,10817.0,1579.0,14.597393,1.0,0.0,,0.5892033,85.7693,GANA PERU,,
050105,Ayacucho,Sur,Huamanga,Chiara,2960.0,370.0,12.5,1.0,0.0,96.49,0.532516,76.927,GANA PERU,18.66,0.26
050106,Ayacucho,Sur,Huamanga,Ocros,3877.0,773.0,19.938097,2.0,0.0,99.52,0.5292674,77.76097,GANA PERU,13.82,0.28
050107,Ayacucho,Sur,Huamanga,Pacaycasa,1791.0,252.0,14.070352,1.0,0.0,94.39,0.5504908,81.54795,FUERZA 2011,18.76,0.28
050108,Ayacucho,Sur,Huamanga,Quinua,4251.0,744.0,17.501764,1.0,0.0,98.06,0.5349298,74.44934,GANA PERU,30.06,0.26
050109,Ayacucho,Sur,Huamanga,San José de Ticllas,1534.0,329.0,21.447197,2.0,1.0,94.98,0.53408784,74.4112,GANA PERU,8.72,0.25
050110,Ayacucho,Sur,Huamanga,San Juan Bautista,23235.0,3575.0,15.3862705,1.0,0.0,45.61,0.6019815,92.38205,GANA PERU,5.72,0.35
050111,Ayacucho,Sur,Huamanga,Santiago de Pischa,851.0,183.0,21.504112,2.0,1.0,99.31,0.5367785,77.743904,GANA PERU,7.28,0.29
050112,Ayacucho,Sur,Huamanga,Socos,4806.0,819.0,17.041199,1.0,0.0,96.82,0.51763064,71.10312,GANA PERU,9.24,0.27
050113,Ayacucho,Sur,Huamanga,Tambillo,2960.0,370.0,12.5,1.0,0.0,82.15,0.52773505,76.14401,GANA PERU,14.25,0.26
050114,Ayacucho,Sur,Huamanga,Vinchos,9544.0,1446.0,15.15088,1.0,0.0,99.72,0.50226146,65.32561,GANA PERU,26.36,0.26
050115,Ayacucho,Sur,Huamanga,Jesús Nazareno,9247.0,1396.0,15.096788,1.0,0.0,39.35,0.60737187,92.66539,GANA PERU,4.05,0.34
050201,Ayacucho,Sur,Cangallo,Cangallo,4071.0,1045.0,25.669369,3.0,1.0,84.25,0.54940736,73.80742,GANA PERU,10.42,0.32
050202,Ayacucho,Sur,Cangallo,Chuschi,5008.0,1002.0,20.007988,2.0,1.0,99.52,0.53028965,70.98383,GANA PERU,12.71,0.27
050203,Ayacucho,Sur,Cangallo,Los Morochucos,5413.0,1039.0,19.194532,2.0,0.0,94.11,0.5401479,75.029335,GANA PERU,15.2,0.26
050204,Ayacucho,Sur,Cangallo,María Parado de Bellido,1454.0,389.0,26.753782,3.0,1.0,99.48,0.52560663,69.23077,GANA PERU,11.76,0.25
050205,Ayacucho,Sur,Cangallo,Paras,2973.0,729.0,24.520687,3.0,1.0,99.5,0.53391606,74.71342,GANA PERU,22.5,0.3
050206,Ayacucho,Sur,Cangallo,Totos,2467.0,680.0,27.563843,3.0,1.0,99.74,0.53762525,74.45674,GANA PERU,12.31,0.26
050301,Ayacucho,Sur,Huanca Sancos,Sancos,2228.0,587.0,26.346498,3.0,1.0,99.75,0.57423604,87.390396,GANA PERU,28.04,0.32
050302,Ayacucho,Sur,Huanca Sancos,Carapo,1688.0,494.0,29.265404,3.0,1.0,99.79,0.55274487,82.33945,GANA PERU,28.22,0.3
050303,Ayacucho,Sur,Huanca Sancos,Sacsamarca,1247.0,351.0,28.147554,3.0,1.0,99.83,0.5425716,78.178696,GANA PERU,35.3,0.29
050304,Ayacucho,Sur,Huanca Sancos,Santiago de Lucanamarca,1708.0,512.0,29.976582,3.0,1.0,99.88,0.5352731,75.01542,GANA PERU,30.07,0.25
050401,Ayacucho,Sur,Huanta,Huanta,26557.0,5946.0,22.389578,2.0,1.0,65.78,0.5621975,81.021255,GANA PERU,13.46,0.34
050402,Ayacucho,Sur,Huanta,Ayahuanco,2461.0,733.0,29.784641,3.0,1.0,99.89,0.5130367,69.15464,GANA PERU,49.95,0.27
050403,Ayacucho,Sur,Huanta,Huamanguilla,3088.0,553.0,17.908031,1.0,0.0,91.73,0.5365241,74.41056,GANA PERU,11.31,0.25
050404,Ayacucho,Sur,Huanta,Iguaín,2086.0,389.0,18.64813,2.0,0.0,91.14,0.51698864,67.885925,GANA PERU,13.49,0.27
050405,Ayacucho,Sur,Huanta,Luricocha,3389.0,770.0,22.720566,2.0,1.0,87.0,0.53766483,76.485954,GANA PERU,11.74,0.29
050406,Ayacucho,Sur,Huanta,Santillana,4167.0,809.0,19.414448,2.0,0.0,99.78,0.5099297,66.84183,GANA PERU,17.83,0.26
050407,Ayacucho,Sur,Huanta,Sivia,5120.0,1181.0,23.066406,2.0,1.0,85.09,0.5557893,81.266846,GANA PERU,36.46,0.3
050408,Ayacucho,Sur,Huanta,Llochegua,5667.0,1526.0,26.927828,3.0,1.0,95.3,0.5735064,87.88152,GANA PERU,61.41,0.3
050501,Ayacucho,Sur,La Mar,San Miguel,10627.0,2651.0,24.945892,3.0,1.0,83.02,0.53234917,73.56583,GANA PERU,28.01,0.31
050502,Ayacucho,Sur,La Mar,Anco,7098.0,1771.0,24.950691,3.0,1.0,95.54,0.54039574,80.532074,GANA PERU,27.13,0.29
050503,Ayacucho,Sur,La Mar,Ayna,5625.0,1180.0,20.977777,2.0,1.0,84.96,0.56218445,81.378586,FUERZA 2011,60.12,0.31
050504,Ayacucho,Sur,La Mar,Chilcas,1344.0,344.0,25.595238,3.0,1.0,94.57,0.5352959,74.140945,GANA PERU,10.41,0.31
050505,Ayacucho,Sur,La Mar,Chungui,2751.0,965.0,35.07815,3.0,1.0,99.75,0.52635384,77.3151,GANA PERU,21.31,0.27
050506,Ayacucho,Sur,La Mar,Luis Carranza,737.0,148.0,20.081411,2.0,1.0,100.0,0.52371377,71.405876,GANA PERU,17.58,0.27
050507,Ayacucho,Sur,La Mar,Santa Rosa,5620.0,1009.0,17.953737,1.0,0.0,73.46,0.5626342,84.5226,GANA PERU,41.18,0.31
050508,Ayacucho,Sur,La Mar,Tambo,8390.0,1649.0,19.65435,2.0,0.0,94.6,0.51169807,65.913155,GANA PERU,24.95,0.3
050601,Ayacucho,Sur,Lucanas,Puquio,9535.0,2219.0,23.272156,2.0,1.0,64.61,0.5841686,85.69688,GANA PERU,7.84,0.33
050602,Ayacucho,Sur,Lucanas,Aucará,1760.0,672.0,38.18182,3.0,1.0,99.51,0.55556905,80.024895,GANA PERU,18.26,0.28
050603,Ayacucho,Sur,Lucanas,Cabana,774.0,203.0,26.22739,3.0,1.0,99.61,0.5820509,87.303505,GANA PERU,24.61,0.29
050604,Ayacucho,Sur,Lucanas,Carmen Salcedo,903.0,233.0,25.80288,3.0,1.0,99.37,0.56820583,83.63636,GANA PERU,11.75,0.34
050605,Ayacucho,Sur,Lucanas,Chaviña,1361.0,306.0,22.483467,2.0,1.0,87.18,0.5468879,80.354706,GANA PERU,23.21,0.29
050606,Ayacucho,Sur,Lucanas,Chipao,1969.0,595.0,30.218386,3.0,1.0,99.54,0.5432454,77.98954,GANA PERU,31.09,0.3
050607,Ayacucho,Sur,Lucanas,Huac-Huas,976.0,309.0,31.659836,3.0,1.0,99.74,0.5842993,92.815636,GANA PERU,26.31,0.3
050608,Ayacucho,Sur,Lucanas,Laramate,1114.0,297.0,26.660683,3.0,1.0,94.49,0.57422066,88.44589,FUERZA 2011,26.47,0.3
050609,Ayacucho,Sur,Lucanas,Leoncio Prado,760.0,166.0,21.842106,2.0,1.0,99.46,0.56579584,87.3928,GANA PERU,32.43,0.27
050610,Ayacucho,Sur,Lucanas,Llauta,870.0,221.0,25.402298,3.0,1.0,99.79,0.5864569,92.59259,FUERZA 2011,17.99,0.31
050611,Ayacucho,Sur,Lucanas,Lucanas,1915.0,420.0,21.932116,2.0,1.0,87.51,0.54147357,76.291176,GANA PERU,33.49,0.31
050612,Ayacucho,Sur,Lucanas,Ocaña,1480.0,416.0,28.108109,3.0,1.0,97.51,0.56188256,86.99152,FUERZA 2011,30.67,0.31
050613,Ayacucho,Sur,Lucanas,Otoca,964.0,225.0,23.340248,2.0,1.0,97.07,0.58556676,91.05166,FUERZA 2011,32.8,0.34
050614,Ayacucho,Sur,Lucanas,Saisa,299.0,83.0,27.759197,3.0,1.0,99.5,0.6060479,96.52568,GANA PERU,45.27,0.38
050615,Ayacucho,Sur,Lucanas,San Cristóbal,1221.0,206.0,16.871416,1.0,0.0,99.8,0.5133147,70.53571,GANA PERU,33.6,0.29
050616,Ayacucho,Sur,Lucanas,San Juan,539.0,165.0,30.612246,3.0,1.0,99.08,0.578338,91.137856,GANA PERU,15.38,0.33
050617,Ayacucho,Sur,Lucanas,San Pedro,1819.0,350.0,19.24134,2.0,0.0,96.71,0.5207643,70.80292,FUERZA 2011,27.19,0.26
050618,Ayacucho,Sur,Lucanas,San Pedro de Palco,876.0,338.0,38.584476,3.0,1.0,99.57,0.53922164,75.7158,GANA PERU,35.27,0.3
050619,Ayacucho,Sur,Lucanas,Sancos,2183.0,627.0,28.721943,3.0,1.0,97.81,0.5697352,88.956406,GANA PERU,63.36,0.32
050620,Ayacucho,Sur,Lucanas,Santa Ana de Huaycahuacho,491.0,142.0,28.92057,3.0,1.0,98.63,0.55405164,78.30018,FUERZA 2011,7.56,0.32
050621,Ayacucho,Sur,Lucanas,Santa Lucía,702.0,215.0,30.626781,3.0,1.0,97.12,0.5875324,91.80523,GANA PERU,38.33,0.29
050701,Ayacucho,Sur,Parinacochas,Coracora,7813.0,1652.0,21.144247,2.0,1.0,73.04,0.5533291,85.641945,GANA PERU,21.82,0.33
050702,Ayacucho,Sur,Parinacochas,Chumpi,1493.0,378.0,25.318151,3.0,1.0,93.01,0.51373464,76.244225,GANA PERU,19.84,0.29
050703,Ayacucho,Sur,Parinacochas,Coronel Castañeda,509.0,117.0,22.986248,2.0,1.0,100.0,0.5351971,82.78509,GANA PERU,37.04,0.3
050704,Ayacucho,Sur,Parinacochas,Pacapausa,444.0,109.0,24.54955,3.0,1.0,99.29,0.5245124,78.79296,GANA PERU,48.1,0.3
050705,Ayacucho,Sur,Parinacochas,Pullo,2168.0,605.0,27.905905,3.0,1.0,90.39,0.5679163,89.98985,GANA PERU,33.63,0.31
050706,Ayacucho,Sur,Parinacochas,Puyusca,1554.0,378.0,24.324324,3.0,1.0,98.48,0.5264312,79.185524,GANA PERU,15.37,0.29
050707,Ayacucho,Sur,Parinacochas,San Francisco de Ravacayco,547.0,182.0,33.272396,3.0,1.0,99.52,0.5026663,71.80617,GANA PERU,37.32,0.3
050708,Ayacucho,Sur,Parinacochas,Upahuacho,868.0,225.0,25.92166,3.0,1.0,100.0,0.4842745,65.05728,GANA PERU,40.98,0.29
050801,Ayacucho,Sur,Paucar del Sara Sara,Pausa,1960.0,476.0,24.285715,3.0,1.0,62.03,0.6069296,89.722755,GANA PERU,5.56,0.31
050802,Ayacucho,Sur,Paucar del Sara Sara,Colta,317.0,77.0,24.29022,3.0,1.0,94.48,0.5699704,86.0,GANA PERU,22.1,0.29
050803,Ayacucho,Sur,Paucar del Sara Sara,Corculla,297.0,93.0,31.313131,3.0,1.0,98.42,0.5746772,82.63158,GANA PERU,14.74,0.24
050804,Ayacucho,Sur,Paucar del Sara Sara,Lampa,1233.0,240.0,19.46472,2.0,0.0,83.31,0.5848349,88.41722,GANA PERU,15.21,0.28
050805,Ayacucho,Sur,Paucar del Sara Sara,Marcabamba,500.0,141.0,28.2,3.0,1.0,96.5,0.5872513,83.904106,GANA PERU,7.0,0.29
050806,Ayacucho,Sur,Paucar del Sara Sara,Oyolo,569.0,178.0,31.282953,3.0,1.0,96.33,0.54635334,76.2406,GANA PERU,45.26,0.3
050807,Ayacucho,Sur,Paucar del Sara Sara,Pararca,399.0,100.0,25.062656,3.0,1.0,98.96,0.5730114,83.84615,GANA PERU,14.51,0.31
050808,Ayacucho,Sur,Paucar del Sara Sara,San Javier de Alpabamba,319.0,107.0,33.54232,3.0,1.0,96.84,0.5499123,80.798004,GANA PERU,14.21,0.28
050809,Ayacucho,Sur,Paucar del Sara Sara,San José de Ushua,151.0,41.0,27.152317,3.0,1.0,75.86,0.59201735,86.614174,GANA PERU,15.52,0.21
050810,Ayacucho,Sur,Paucar del Sara Sara,Sara Sara,427.0,116.0,27.166277,3.0,1.0,97.66,0.5645113,79.887215,GANA PERU,14.84,0.3
050901,Ayacucho,Sur,Sucre,Querobamba,1532.0,435.0,28.394257,3.0,1.0,78.18,0.5617938,82.64129,GANA PERU,7.59,0.29
050902,Ayacucho,Sur,Sucre,Belén,264.0,82.0,31.060606,3.0,1.0,100.0,0.569935,85.77778,GANA PERU,9.18,0.31
050903,Ayacucho,Sur,Sucre,Chalcos,371.0,117.0,31.536388,3.0,1.0,98.15,0.56757236,88.86414,GANA PERU,13.89,0.29
050904,Ayacucho,Sur,Sucre,Chilcayoc,408.0,118.0,28.921568,3.0,1.0,99.02,0.53931856,77.927925,GANA PERU,11.22,0.29
050905,Ayacucho,Sur,Sucre,Huacaña,308.0,69.0,22.402597,2.0,1.0,98.59,0.5734938,84.61539,FUERZA 2011,23.0,0.23
050906,Ayacucho,Sur,Sucre,Morcolla,936.0,310.0,33.11966,3.0,1.0,98.62,0.5390349,77.84553,GANA PERU,25.93,0.29
050907,Ayacucho,Sur,Sucre,Paico,482.0,155.0,32.157677,3.0,1.0,99.08,0.546816,79.740685,GANA PERU,17.13,0.28
050908,Ayacucho,Sur,Sucre,San Pedro de Larcay,450.0,101.0,22.444445,2.0,1.0,99.64,0.5535855,81.01695,GANA PERU,25.98,0.29
050909,Ayacucho,Sur,Sucre,San Salvador de Quije,844.0,218.0,25.829384,3.0,1.0,99.35,0.5321235,78.93661,GANA PERU,20.73,0.27
050910,Ayacucho,Sur,Sucre,Santiago de Paucaray,517.0,151.0,29.206963,3.0,1.0,98.92,0.5447075,79.44251,GANA PERU,18.64,0.29
050911,Ayacucho,Sur,Sucre,Soras,529.0,139.0,26.275993,3.0,1.0,99.75,0.55463815,83.00654,GANA PERU,23.56,0.32
051001,Ayacucho,Sur,Víctor Fajardo,Huancapi,1652.0,448.0,27.118645,3.0,1.0,98.99,0.578642,83.08338,GANA PERU,10.09,0.31
051002,Ayacucho,Sur,Víctor Fajardo,Alcamenca,1421.0,426.0,29.978888,3.0,1.0,96.56,0.5450529,77.14286,GANA PERU,19.49,0.24
051003,Ayacucho,Sur,Víctor Fajardo,Apongo,652.0,268.0,41.104294,3.0,1.0,95.31,0.54764473,76.81624,GANA PERU,17.37,0.3
051004,Ayacucho,Sur,Víctor Fajardo,Asquipata,416.0,194.0,46.634617,3.0,1.0,93.58,0.54121196,68.82022,GANA PERU,12.84,0.33
051005,Ayacucho,Sur,Víctor Fajardo,Canaria,1947.0,636.0,32.665638,3.0,1.0,80.25,0.57834387,86.02966,GANA PERU,10.63,0.31
051006,Ayacucho,Sur,Víctor Fajardo,Cayara,968.0,354.0,36.570248,3.0,1.0,98.35,0.53352016,68.57464,GANA PERU,5.14,0.29
051007,Ayacucho,Sur,Víctor Fajardo,Colca,1161.0,414.0,35.658916,3.0,1.0,98.08,0.5504343,80.04779,GANA PERU,3.6,0.31
051008,Ayacucho,Sur,Víctor Fajardo,Huamanquiquia,729.0,175.0,24.005487,3.0,1.0,99.52,0.54609555,78.08219,GANA PERU,14.56,0.28
051009,Ayacucho,Sur,Víctor Fajardo,Huancaraylla,1188.0,417.0,35.10101,3.0,1.0,99.65,0.534923,70.17391,GANA PERU,9.7,0.27
051010,Ayacucho,Sur,Víctor Fajardo,Huaya,1404.0,422.0,30.05698,3.0,1.0,95.41,0.5549538,77.38971,GANA PERU,9.46,0.31
051011,Ayacucho,Sur,Víctor Fajardo,Sarhua,1760.0,438.0,24.886364,3.0,1.0,99.5,0.5416742,72.72225,GANA PERU,10.49,0.3
051012,Ayacucho,Sur,Víctor Fajardo,Vilcanchos,1706.0,544.0,31.887457,3.0,1.0,100.0,0.5331406,73.0395,GANA PERU,26.81,0.26
051101,Ayacucho,Sur,Vilcas Huamán,Vilcas Huamán,4806.0,1075.0,22.367874,2.0,1.0,99.49,0.5379808,74.43,GANA PERU,12.15,0.3
051102,Ayacucho,Sur,Vilcas Huamán,Accomarca,993.0,315.0,31.722054,3.0,1.0,99.58,0.5373968,75.21459,GANA PERU,6.11,0.29
051103,Ayacucho,Sur,Vilcas Huamán,Carhuanca,805.0,272.0,33.78882,3.0,1.0,99.79,0.5316971,73.93484,GANA PERU,5.78,0.25
051104,Ayacucho,Sur,Vilcas Huamán,Concepción,1603.0,446.0,27.822832,3.0,1.0,98.77,0.53369147,75.23546,GANA PERU,8.15,0.3
051105,Ayacucho,Sur,Vilcas Huamán,Huambalpa,1419.0,482.0,33.967583,3.0,1.0,99.86,0.5116921,65.58172,GANA PERU,9.81,0.29
051106,Ayacucho,Sur,Vilcas Huamán,Independencia,1053.0,335.0,31.813866,3.0,1.0,95.38,0.54069585,76.22549,GANA PERU,16.57,0.28
051107,Ayacucho,Sur,Vilcas Huamán,Saurama,973.0,282.0,28.982529,3.0,1.0,99.35,0.5191728,69.78022,GANA PERU,6.72,0.29
051108,Ayacucho,Sur,Vilcas Huamán,Vischongo,2690.0,685.0,25.464684,3.0,1.0,99.61,0.5260431,75.84852,GANA PERU,7.87,0.29
060101,Cajamarca,Norte,Cajamarca,Cajamarca,129246.0,14659.0,11.341937,0.0,0.0,32.75,0.6119179,91.11371,FUERZA 2011,4.27,0.35
060102,Cajamarca,Norte,Cajamarca,Asunción,6551.0,1363.0,20.805984,2.0,1.0,87.61,0.5260232,74.784065,FUERZA 2011,13.28,0.29
060103,Cajamarca,Norte,Cajamarca,Chetilla,2481.0,350.0,14.107215,1.0,0.0,93.42,0.4763614,60.091743,FUERZA 2011,24.56,0.27
060104,Cajamarca,Norte,Cajamarca,Cospán,4346.0,1042.0,23.97607,2.0,1.0,99.78,0.5256511,79.79329,FUERZA 2011,15.94,0.29
060105,Cajamarca,Norte,Cajamarca,Encañada,17971.0,1895.0,10.544766,0.0,0.0,91.54,0.51878154,71.87185,FUERZA 2011,22.13,0.28
060106,Cajamarca,Norte,Cajamarca,Jesús,9741.0,1545.0,15.860795,1.0,0.0,93.11,0.54125047,81.34107,FUERZA 2011,16.86,0.3
060107,Cajamarca,Norte,Cajamarca,Llacanora,3250.0,324.0,9.969231,0.0,0.0,87.47,0.5344214,81.42813,FUERZA 2011,10.78,0.3
060108,Cajamarca,Norte,Cajamarca,Los Baños del Inca,21559.0,1993.0,9.244399,0.0,0.0,55.33,0.56348294,81.69649,FUERZA 2011,8.94,0.36
060109,Cajamarca,Norte,Cajamarca,Magdalena,6509.0,899.0,13.8116455,1.0,0.0,84.7,0.55616575,82.42902,FUERZA 2011,14.27,0.31
060110,Cajamarca,Norte,Cajamarca,Matará,3459.0,531.0,15.351257,1.0,0.0,94.39,0.55617684,83.78165,FUERZA 2011,9.22,0.3
060111,Cajamarca,Norte,Cajamarca,Namora,6004.0,653.0,10.876082,0.0,0.0,97.59,0.5277721,77.03639,FUERZA 2011,24.66,0.3
060112,Cajamarca,Norte,Cajamarca,San Juan,3577.0,467.0,13.055634,1.0,0.0,84.06,0.5455155,80.05337,FUERZA 2011,12.78,0.31
060201,Cajamarca,Norte,Cajabamba,Cajabamba,24406.0,4584.0,18.782267,2.0,0.0,67.2,0.58520395,85.45275,FUERZA 2011,8.41,0.34
060202,Cajamarca,Norte,Cajabamba,Cachachi,9499.0,2368.0,24.92894,3.0,1.0,90.49,0.53955036,79.109566,FUERZA 2011,22.15,0.28
060203,Cajamarca,Norte,Cajabamba,Condebamba,6877.0,1400.0,20.357714,2.0,1.0,87.46,0.53700817,75.429886,FUERZA 2011,14.35,0.28
060204,Cajamarca,Norte,Cajabamba,Sitacocha,4978.0,1513.0,30.393732,3.0,1.0,99.58,0.53755164,76.904945,FUERZA 2011,16.01,0.27
060301,Cajamarca,Norte,Celendín,Celendín,15950.0,3500.0,21.943573,2.0,1.0,64.3,0.569513,88.53937,PERU POSIBLE,9.32,0.33
060302,Cajamarca,Norte,Celendín,Chumuch,1890.0,628.0,33.227512,3.0,1.0,98.67,0.5192169,82.35294,PERU POSIBLE,22.12,0.29
060303,Cajamarca,Norte,Celendín,Cortegana,4362.0,1042.0,23.888124,2.0,1.0,99.71,0.5050204,73.38336,PERU POSIBLE,29.26,0.29
060304,Cajamarca,Norte,Celendín,Huasmín,7326.0,2182.0,29.78433,3.0,1.0,95.36,0.50726616,74.350365,PERU POSIBLE,23.81,0.28
060305,Cajamarca,Norte,Celendín,Jorge Chávez,710.0,210.0,29.577465,3.0,1.0,93.53,0.574622,93.7788,PERU POSIBLE,10.0,0.27
060306,Cajamarca,Norte,Celendín,José Gálvez,2019.0,468.0,23.179792,2.0,1.0,67.07,0.5593078,87.53168,PERU POSIBLE,7.96,0.32
060307,Cajamarca,Norte,Celendín,Miguel Iglesias,2907.0,677.0,23.288614,2.0,1.0,99.09,0.50845677,79.73205,PERU POSIBLE,23.13,0.28
060308,Cajamarca,Norte,Celendín,Oxamarca,4110.0,726.0,17.664234,1.0,0.0,97.26,0.522111,84.053154,PERU POSIBLE,22.37,0.28
060309,Cajamarca,Norte,Celendín,Sorochuco,7059.0,1520.0,21.532795,2.0,1.0,93.87,0.51270753,73.03727,FUERZA 2011,18.39,0.29
060310,Cajamarca,Norte,Celendín,Sucre,3468.0,832.0,23.990772,2.0,1.0,84.46,0.54164404,86.41096,FUERZA 2011,15.89,0.31
060311,Cajamarca,Norte,Celendín,Utco,943.0,228.0,24.178154,3.0,1.0,95.37,0.5240453,81.375,PERU POSIBLE,16.05,0.29
060312,Cajamarca,Norte,Celendín,La Libertad de Pallán,4399.0,963.0,21.891338,2.0,1.0,97.69,0.50779504,78.79378,PERU POSIBLE,21.16,0.28
060401,Cajamarca,Norte,Chota,Chota,35004.0,6918.0,19.763456,2.0,0.0,64.75,0.5630322,77.88419,GANA PERU,11.9,0.34
060402,Cajamarca,Norte,Chota,Anguía,2265.0,551.0,24.326712,3.0,1.0,96.47,0.5430326,78.36027,FUERZA 2011,28.37,0.29
060403,Cajamarca,Norte,Chota,Chadín,2561.0,582.0,22.725498,2.0,1.0,93.24,0.5425799,76.065704,GANA PERU,29.89,0.3
060404,Cajamarca,Norte,Chota,Chiguirip,3086.0,666.0,21.581335,2.0,1.0,93.06,0.5391842,74.30058,FUERZA 2011,12.68,0.28
060405,Cajamarca,Norte,Chota,Chimbán,1653.0,649.0,39.261948,3.0,1.0,98.86,0.54452103,79.48844,PERU POSIBLE,19.49,0.28
060406,Cajamarca,Norte,Chota,Choropampa,1994.0,646.0,32.39719,3.0,1.0,99.47,0.5381973,78.53858,PERU POSIBLE,23.8,0.29
060407,Cajamarca,Norte,Chota,Cochabamba,3949.0,847.0,21.448467,2.0,1.0,98.35,0.54690725,75.45582,FUERZA 2011,29.7,0.3
060408,Cajamarca,Norte,Chota,Conchán,3699.0,842.0,22.762909,2.0,1.0,88.67,0.53278506,73.3267,FUERZA 2011,21.27,0.29
060409,Cajamarca,Norte,Chota,Huambos,5586.0,1120.0,20.050125,2.0,1.0,93.75,0.5402097,77.50607,FUERZA 2011,31.1,0.3
060410,Cajamarca,Norte,Chota,Lajas,10375.0,2237.0,21.561445,2.0,1.0,83.59,0.547278,74.15904,FUERZA 2011,32.89,0.3
060411,Cajamarca,Norte,Chota,Llama,3076.0,661.0,21.488947,2.0,1.0,84.86,0.57362854,90.18,FUERZA 2011,12.38,0.31
060412,Cajamarca,Norte,Chota,Miracosta,2309.0,985.0,42.65916,3.0,1.0,98.34,0.53623307,79.61469,GANA PERU,34.56,0.27
060413,Cajamarca,Norte,Chota,Paccha,3316.0,698.0,21.049458,2.0,1.0,93.39,0.5454396,77.606064,GANA PERU,15.38,0.31
060414,Cajamarca,Norte,Chota,Pión,1109.0,371.0,33.45356,3.0,1.0,89.79,0.545719,79.28642,PERU POSIBLE,19.63,0.29
060415,Cajamarca,Norte,Chota,Querocoto,5028.0,1500.0,29.832935,3.0,1.0,89.79,0.5667403,87.6494,PERU POSIBLE,26.06,0.31
060416,Cajamarca,Norte,Chota,San Juan de Licupis,971.0,498.0,51.287334,3.0,1.0,97.97,0.54893035,87.937744,GANA PERU,22.03,0.28
